chart,position,song,artist,album
2208,49,Not Shy,ITZY,Not Shy
2208,50,99 Problems,JAY-Z,The Black Album
2209,1,Baby,Charli XCX,CRASH
2209,2,Feel Special,TWICE,Feel Special
2209,3,HULA HOOP,LOONA,
2209,4,Little Thoughts,Bloc Party,Silent Alarm
2209,5,PUSH & PULL,TWICE,Formula of Love: O+T=<3
2209,6,My Happy Ending,Avril Lavigne,Under My Skin
2209,7,The Reeling,Passion Pit,Manners
2209,8,HANN (Alone),(G)I-DLE,
2209,9,Helicopter,Bloc Party,Silent Alarm
2209,10,Send It Up,Kanye West,Yeezus
2209,11,Billions,Caroline Polachek,
2209,12,5 in the Morning,Charli XCX,
2209,13,Hold Tight,Jamie xx,In Colour
2209,14,Sleep Sound,Jamie xx,In Colour
2209,15,On Sight,Kanye West,Yeezus
2209,16,Caffeine,Lolo Zouaï,High Highs to Low Lows
2209,17,Chaeri,Magdalena Bay,Mercurial World
2209,18,HMU for a Good Time,Tinashe; Channel Tres,333
2209,19,Naturally,Tinashe,333
2209,20,Pink Funeral,Beach House,Once Twice Melody
2209,21,Heaven On Earth,Britney Spears,Blackout
2209,22,Beg For You (A. G. Cook & VERNON of SEVENTEEN Remix),"Charli XCX, Rina Sawayama, A. G. Cook,VERNON",
2209,23,Take Care,"Drake, Rihanna",Take Care
2209,24,3AM,HAIM,Women in Music Pt. III
2209,25,Blood On The Leaves,Kanye West,Yeezus
2209,26,Clouds,One Direction,Four
2209,27,1901,Phoenix,Wolfgang Amadeus Phoenix
2209,28,SAOKO,ROSALÍA,MOTOMAMI
2209,29,Sacrifice,The Weeknd,Dawn FM
2209,30,MOONLIGHT,TWICE,Formula of Love: O+T=<3
2209,31,Giant Peach,Wolf Alice,My Love is Cool
2209,32,Goldie,A$AP Rocky,LONG.LIVE.A$AP
2209,33,One,Amber Mark,Three Dimensions Deep
2209,34,Cannonball,Avril Lavigne,Love Sux
2209,35,I'm With You,Avril Lavigne,Let Go
2209,36,Sk8er Boi,Avril Lavigne,Let Go
2209,37,family ties,"Baby Keem, Kendrick Lamar",The Melodic Blue
2209,38,Superstar,Beach House,Once Twice Melody
2209,39,Paradise,Big Sean,Dark Sky Paradise
2209,40,Fuck the World (Summer in London),Brent Faiyaz,Fuck The World
2209,41,Get Back,Britney Spears,Blackout
2209,42,I'm a Slave 4 U,Britney Spears,Britney
2209,43,I Belong In Your Arms,Chairlift,Something
2209,44,Show U Off,Chairlift,Moth
2209,45,7 years,Charli XCX,how i'm feeling now
2209,46,Focus,Charli XCX,
2209,47,Technologic,Daft Punk,Human After All
2209,48,Levitating,Dua Lipa,Future Nostalgia
2209,49,Houdini,Foster the People,Torches
2209,50,One Last Kiss,Utada Hikaru,Bad Mode
2210,1,RUN2U,STAYC,YOUNG-LUV.COM
2210,2,HMU for a Good Time,"Tinashe, Channel Tres",333
2210,3,Tesla,Corvad,Prime
2210,4,Sleep Sound,Jamie xx,In Colour
2210,5,Fuck the World (Summer in London),Brent Faiyaz,Fuck The World
2210,6,California,Grimes,Art Angels
2210,7,Baby,Charli XCX,CRASH
2210,8,The Rest Is Noise,Jamie xx,In Colour
2210,9,Hold Tight,Jamie xx,In Colour
2210,10,Annie,Neon Indian,Vega Intl Night School
2210,11,Why Should I Be Sad,Britney Spears,Blackout
2210,12,Deceptacon,Le Tigre,Le Tigre
2210,13,61 Cygni Ave,Neon Indian,Vega Intl Night School
2210,14,New Romance,Beach House,Once Twice Melody
2210,15,What The Water Gave Me,Florence + The Machine,Ceremonials
2210,16,Sky2Fall,Magdalena Bay,Mini Mix Vol. 2
2210,17,Child's Play,"SZA, Chance the Rapper",Z
2210,19,Started From The Bottom,Drake,Nothing Was The Same
2210,20,2AM,Foals,Life Is Yours
2210,21,Girl,Jamie xx,In Colour
2210,22,Hold My Liquor,Kanye West,Yeezus
2210,23,New God Flow,"Kanye West, Ghostface Killah, Pusha T",Cruel Summer
2210,24,Peso,A$AP Rocky,Live.Love.A$AP
2210,24,On Sight,Kanye West,Yeezus
2210,25,Send It Up,Kanye West,Yeezus
2210,26,Swimming Pools (Drank),Kendrick Lamar,"good kid, m.A.A.d city"
2210,27,Swang,Rae Sremmurd,SremmLife 2
2210,28,C.R.E.A.M.,Wu-Tang Clan,36 Chambers
2210,29,goodnight n go,Ariana Grande,Sweetener
2210,30,Pink Funeral,Beach House,Once Twice Melody
2210,31,Body Language,"Big Sean, Jhené Aiko, Ty Dolla $ign",Detroit 2
2210,32,Addiction,Doja Cat,Hot Pink 
2210,33,ride the dragon,FKA twigs,CAPRISONGS
2210,34,Bedroom Hymns,Florence + The Machine,Ceremonials
2210,35,My Love,Florence + The Machine,Dance Fever
2210,36,BBC,JAY-Z,Magna Carta Holy Grail
2210,37,Black Skinhead,Kanye West,Yeezus
2210,38,Blood On The Leaves,Kanye West,Yeezus
2210,39,New Slaves,Kanye West,Yeezus
2210,40,good kid,Kendrick Lamar,"good kid, m.A.A.d city"
2210,41,m.A.A.d city,"Kendrick Lamar, MC Eiht","good kid, m.A.A.d city"
2210,42,Money Trees,"Kendrick Lamar, Jay Rock","good kid, m.A.A.d city"
2210,43,The Art of Peer Pressure,Kendrick Lamar,"good kid, m.A.A.d city"
2210,44,Meet The Frownies,Mr Twin Sister,
2210,45,Do It,Nelly Furtado,Loose
2210,46,Promiscuous,"Nelly Furtado, Timbaland",Loose
2210,47,Hard Times,Paramore,After Laughter
2210,48,The Reeling,Passion Pit,Manners
2210,49,Madonna,Snail Mail,Valentine
2210,50,Young Blood,The Naked and Famous,Passive Me Aggressive You
2211,1,Tesla,Corvad,Prime
2211,2,Écoute Chérie,Vendredi sur Mer,Premiers Émois
2211,3,Baby,Charli XCX,CRASH
2211,4,Do You Wanna Come Over?,Britney Spears,Glory
2211,5,Billions,Caroline Polachek,
2211,6,meta angel,FKA twigs,CAPRISONGS
2211,7,Girl,Jamie xx,In Colour
2211,8,Eventually,Tame Impala,Currents
2211,9,HMU for a Good Time,"Tinashe, Channel Tres",333
2211,10,Feel Special,TWICE,Feel Special
2211,11,Soliá,Bad Bunny,YHLQMDLG
2211,12,LOVE BOMB,fromis_9,From.9
2211,13,Night Shift,Lucy Dacus,Historian
2211,14,Taken,MUNA,Saves the World
2211,15,Passion,pinkpantheress,to hell with it
2211,16,Good Girls,5 Seconds of Summer,5 Seconds of Summer
2211,17,Tia Tamera,"Doja Cat, Rico Nasty",Amala
2211,18,The Rest Is Noise,Jamie xx,In Colour
2211,19,A Loving Feeling,Mitski,Puberty 2
2211,20,Reason,pinkpantheress,to hell with it
2211,21,Beside You,5 Seconds of Summer,5 Seconds of Summer
2211,22,End Up Here,5 Seconds of Summer,5 Seconds of Summer
2211,23,Social Casualty,5 Seconds of Summer,5 Seconds of Summer
2211,24,Better,Britney Spears,Glory
2211,25,Clumsy,Britney Spears,Glory
2211,26,Just Luv Me,Britney Spears,Glory
2211,27,LA DI DA,EVERGLOW,-77.82X-78.29
2211,28,Machika,"J Balvin, Jeon, Anitta",Vibras
2211,29,Sleep Sound,Jamie xx,In Colour
2211,30,Hard Feelings/Loveless,Lorde,Melodrama
2211,31,Hurt Feelings,Mac Miller,Swimming
2211,32,Anything But Me,MUNA,MUNA
2211,33,Girl Almighty,One Direction,FOUR
2211,34,Don't Stop,5 Seconds of Summer,5 Seconds of Summer
2211,35,Everything I Didn't Say,5 Seconds of Summer,5 Seconds of Summer
2211,36,Long Way Home,5 Seconds of Summer,5 Seconds of Summer
2211,37,She Looks So Perfect,5 Seconds of Summer,5 Seconds of Summer
2211,38,Voodoo Doll,5 Seconds of Summer,5 Seconds of Summer
2211,39,Peso,A$AP Rocky,Live.Love.A$AP
2211,40,Love Me Harder,"Ariana Grande, The Weeknd",My Everything
2211,41,Bichiyal,"Bad Bunny, Yaviah",YHLQMDLG
2211,42,New Romance,Beach House,Once Twice Melody
2211,43,Coupure Electrique,Britney Spears,Glory
2211,44,Get Back,Britney Spears,Blackout
2211,45,Make Me...,"Britney Spears, G-Eazy",Glory
2211,46,Hit Me Where It Hurts,Caroline Polachek,Pang
2211,47,7 years,Charli XCX,how i'm feeling now
2211,48,detonate,Charli XCX,how i'm feeling now
2211,49,pink diamond,Charli XCX,how i'm feeling now
2211,50,Magnets,"Disclosure, Lorde",Caracal
